party,state,name,keycode,post_date,post_likes,post_comments,post_likes_zscore,post_comments_zscore,follower_date,7days_followers,post_likes_clean,likes_by_follower,likes_by_follower_zscore,comments_by_follower,comments_by_follower_zscore,7days_followers_zscore,engagement_rate,engagement_rate_zscore
Republican,Wisconsin,Eric Hovde,DB4ZJ-pMvgB,2024-11-02,340,18,-0.47469053071851747,-0.5255917819745478,2024-11-09,3414,340.0,0.09958992384299942,-1.0250581185980332,0.005272407732864675,-0.9680560348313275,1.402766445316325,0.1048623315758641,-0.7130783004062382
Republican,Wisconsin,Eric Hovde,DB2W82vqBlS,2024-11-02,564,33,0.5594179023341798,0.30686725158762435,2024-11-09,3414,564.0,0.16520210896309315,-0.6130742923877867,0.009666080843585237,-0.6012249352038597,1.402766445316325,0.17486818980667837,0.6175548016665426
Republican,Arizona,Kari Lake,DB4hQEKtApq,2024-11-02,11613,345,1.0496787364531315,1.1601185369772604,2024-11-09,833669,11613.0,0.013929989000430626,1.0254508134124485,0.00041383330794356036,1.1381715641918881,2.06918562123632,0.014343822308374186,1.0679550692557285
Republican,Arizona,Kari Lake,DB4NNSlyNOt,2024-11-02,31353,339,4.178200279694454,1.1299884651680543,2024-11-09,833669,31353.0,0.03760845131580999,4.114764097392153,0.00040663620693584627,1.1084084917362906,2.06918562123632,0.038015087522745836,2.565351648679499
Republican,Arizona,Kari Lake,DB2dePUv9NT,2024-11-02,5412,109,0.06690456777838777,-0.024997620851510433,2024-11-09,833669,5412.0,0.0064917851089581115,0.05499328180362671,0.0001307473349734727,-0.03250928572827709,2.06918562123632,0.006622532443931585,0.02025286977484326
Democratic,Pennsylvania,Bob Casey,DB4ak_1I0UG,2024-11-02,104,1,-0.30914841874599425,-0.568604221917099,2024-11-09,21430,104.0,0.0048530097993467105,-0.3123795722569414,4.6663555762949134e-05,-0.5725306837126064,1.5819103313479803,0.00489967335510966,-0.5548687705422223
Democratic,Pennsylvania,Bob Casey,DB2oORzApOs,2024-11-02,175,4,-0.25302556582915653,-0.37655908736231725,2024-11-09,21430,175.0,0.008166122258516099,-0.25654978433737946,0.00018665422305179653,-0.3829316416153823,1.5819103313479803,0.008352776481567896,-0.3979901014079546
Democratic,Michigan,Elissa Slotkin,DB4Rm_-P2x5,2024-11-02,182,2,-0.2641679979387084,-0.5297929582121029,2024-11-09,21235,182.0,0.008570755827643042,-0.2652199470504296,9.418412997409936e-05,-0.5293163489570506,2.353918720851169,0.008664939957617142,-0.3372932757269196
Republican,Pennsylvania,Dave McCormick,DB356aOuNlR,2024-11-02,382,9,2.1542791261342638,0.18563728363543217,2024-11-09,3270,382.0,0.11681957186544342,-0.34855869849400745,0.0027522935779816515,-0.32112164977103924,1.9120151990964558,0.11957186544342507,1.2237959253019797
Republican,Pennsylvania,Dave McCormick,DB2X3eFNaHY,2024-11-02,206,7,0.2922777861020295,0.0024425958373082935,2024-11-09,3270,206.0,0.06299694189602446,-0.9687214206900208,0.0021406727828746177,-0.38912173723600557,1.9120151990964558,0.06513761467889909,0.15414123385557352
